epoch,loss_type,total_loss,global_mse,local_angle_mae
1,edm,1154.4154052734375,26.751827239990234,103.6986312866211
2,edm,496.26251220703125,26.24454116821289,106.31343841552734
3,edm,526.8222045898438,25.60623550415039,106.35088348388672
4,edm,565.26708984375,24.540773391723633,107.65225982666016
5,edm,959.5543212890625,22.901065826416016,110.11969757080078
6,edm,440.743408203125,19.79837989807129,111.87198638916016
7,edm,601.3616943359375,17.05023193359375,109.63579559326172
8,edm,205.76426696777344,15.00597095489502,106.64849090576172
9,edm,309.1907958984375,12.56513786315918,105.31450653076172
10,edm,1181.23095703125,9.778478622436523,103.46746826171875
11,edm,473.95587158203125,6.321991443634033,101.20423889160156
12,edm,224.52822875976562,5.406893253326416,97.07901763916016
13,edm,109.03057098388672,4.927196979522705,94.46886444091797
14,edm,156.60304260253906,4.085020542144775,94.28924560546875
15,edm,111.39043426513672,3.3853907585144043,90.58021545410156
16,edm,102.03511810302734,2.836313486099243,87.48375701904297
17,edm,56.33002853393555,2.3286495208740234,82.834228515625
18,edm,69.76116180419922,1.9338740110397339,82.3912124633789
19,edm,59.5970344543457,1.6039693355560303,79.00303649902344
20,edm,232.6654815673828,1.3244422674179077,75.84589385986328
21,edm,60.48507308959961,1.004896640777588,73.5174331665039
22,edm,7.853531837463379,0.823219895362854,72.17640686035156
23,edm,125.0223617553711,0.7358026504516602,73.50894165039062
24,edm,52.42279815673828,0.6645205616950989,72.24734497070312
25,edm,16.9434871673584,0.6029716730117798,70.4361343383789
26,edm,74.63246154785156,0.5403202176094055,71.19794464111328
27,edm,58.505226135253906,0.49341246485710144,71.40531158447266
28,edm,27.203632354736328,0.4621439278125763,74.08876037597656
29,edm,38.427799224853516,0.429707407951355,72.92626190185547
30,edm,51.55462646484375,0.41754505038261414,73.29744720458984
31,edm,44.437583923339844,0.41058364510536194,69.7250747680664
32,edm,67.55170440673828,0.39742621779441833,73.95427703857422
33,edm,76.28887939453125,0.39269858598709106,73.55741882324219
34,edm,22.198392868041992,0.3901943266391754,72.7870101928711
35,edm,24.68568229675293,0.37782585620880127,71.33269500732422
36,edm,51.576934814453125,0.3812461793422699,72.15013885498047
37,edm,22.2854061126709,0.3820964992046356,73.11088562011719
38,edm,101.74456024169922,0.3746426999568939,74.91620635986328
39,edm,38.19830322265625,0.3608126640319824,73.75010681152344
40,edm,130.05235290527344,0.38403478264808655,73.39729309082031
41,edm,20.523900985717773,0.3617129921913147,71.91751098632812
42,edm,19.864173889160156,0.36141714453697205,74.2286148071289
43,edm,68.59663391113281,0.3729891777038574,75.42771911621094
44,edm,33.623146057128906,0.3564164638519287,74.30070495605469
45,edm,25.600189208984375,0.35393378138542175,75.33467864990234
46,edm,73.8702163696289,0.3531286418437958,77.38711547851562
47,edm,16.1512451171875,0.3530961573123932,72.34576416015625
48,edm,21.208515167236328,0.3510030210018158,76.03874969482422
49,edm,91.27772521972656,0.34403398633003235,76.79776000976562
50,edm,45.0643196105957,0.33961766958236694,74.48180389404297
51,edm,65.6524887084961,0.33541855216026306,76.33375549316406
52,edm,27.305633544921875,0.3357923924922943,73.35012817382812
53,edm,58.515228271484375,0.32894980907440186,76.45182800292969
54,edm,91.1471939086914,0.3230319023132324,73.58030700683594
55,edm,41.52886962890625,0.3198168873786926,73.85089874267578
56,edm,18.01718521118164,0.3163478374481201,73.08853149414062
57,edm,30.148345947265625,0.31360024213790894,73.24463653564453
58,edm,74.8103256225586,0.3080846071243286,72.154052734375
59,edm,17.802061080932617,0.3039131462574005,72.47390747070312
60,edm,43.35514450073242,0.3000071346759796,71.76675415039062
61,edm,22.62692642211914,0.2945673167705536,72.36582946777344
62,edm,171.8107147216797,0.2858903706073761,71.8094253540039
63,edm,12.83664608001709,0.2792406678199768,69.66477966308594
64,edm,163.29371643066406,0.27752792835235596,70.97235870361328
65,edm,23.37409210205078,0.2734469473361969,69.44386291503906
66,edm,33.66750717163086,0.2665099799633026,70.3843994140625
67,edm,53.66440963745117,0.26269373297691345,68.80609893798828
68,edm,30.094186782836914,0.2539387047290802,68.46187591552734
69,edm,31.208967208862305,0.2506885230541229,66.76274108886719
