epoch,loss_type,smooth_lddt_weight,total_loss,global_mse,local_angle_mae
1,edm,0.0,22.309963762760162,72.1550521850586,53.22868728637695
2,edm,0.0,16.552032440900803,77.54524230957031,51.366764068603516
3,edm,0.0,12.156740486621857,72.5872573852539,54.169795989990234
4,edm,0.0,9.380410224199295,79.71967315673828,53.32735824584961
5,edm,0.0,7.556368574500084,76.02840423583984,54.4152717590332
6,edm,0.0,6.049350298941135,48.69343566894531,55.84549331665039
7,edm,0.0,4.598443515598774,21.660551071166992,52.82148742675781
8,edm,0.0,4.232932850718498,18.186811447143555,51.571041107177734
9,edm,0.0,3.627284623682499,13.054121971130371,50.41890335083008
10,edm,0.0,3.417773514986038,10.740957260131836,51.595916748046875
11,edm,0.0,3.234151527285576,12.40837287902832,53.00907516479492
12,edm,0.0,3.0757017582654953,7.996219158172607,51.13533401489258
13,edm,0.0,2.9223340675234795,7.231387138366699,51.194129943847656
14,edm,0.0,2.890573278069496,6.215184688568115,52.4810905456543
15,edm,0.0,2.8169125616550446,5.351302623748779,52.068721771240234
16,edm,0.0,2.8646535873413086,5.232522964477539,51.26082229614258
17,edm,0.0,2.709861643612385,4.9900593757629395,52.40397644042969
18,edm,0.0,2.6625056490302086,4.601864337921143,50.351539611816406
19,edm,0.0,2.6019750237464905,4.193828582763672,52.06279373168945
20,edm,0.0,2.5385058000683784,5.249232292175293,51.78258514404297
21,edm,0.0,2.553296849131584,3.9875504970550537,51.99803924560547
22,edm,0.0,2.521625779569149,3.3276684284210205,51.24632263183594
23,edm,0.0,2.473419137299061,3.0707473754882812,51.21785354614258
24,edm,0.0,2.362673781812191,3.0338759422302246,52.21800231933594
25,edm,0.0,2.354938007891178,2.9592199325561523,51.571754455566406
26,edm,0.0,2.335774004459381,2.7781801223754883,51.17714309692383
27,edm,0.0,2.397158980369568,2.837369441986084,52.26549530029297
28,edm,0.0,2.297795630991459,2.6620500087738037,50.78730010986328
29,edm,0.0,2.2318618148565292,2.3257017135620117,52.60298156738281
30,edm,0.0,2.265393555164337,2.48103666305542,51.61305618286133
31,edm,0.0,2.2411727532744408,2.214622974395752,50.83412170410156
32,edm,0.0,2.1998248249292374,2.239219903945923,51.02094650268555
33,edm,0.0,2.198036067187786,1.8014304637908936,51.18287658691406
34,edm,0.0,2.168733485043049,2.4456846714019775,50.39202880859375
35,edm,0.0,2.1556444242596626,1.6800329685211182,51.09241485595703
36,edm,0.0,2.1463383361697197,1.6195236444473267,50.25141906738281
37,edm,0.0,2.1036184579133987,1.6352496147155762,50.39591598510742
38,edm,0.0,2.102508135139942,1.6211283206939697,51.06070327758789
39,edm,0.0,2.0570797696709633,1.4283421039581299,51.29714584350586
40,edm,0.0,2.028926644474268,1.8499358892440796,50.243865966796875
41,edm,0.0,2.0025787614285946,1.4034394025802612,50.342403411865234
42,edm,0.0,2.0150371342897415,1.3568291664123535,51.180702209472656
43,edm,0.0,1.9819073788821697,1.3077675104141235,50.87141418457031
44,edm,0.0,1.9724145270884037,1.295861840248108,51.0547981262207
45,edm,0.0,1.95752639696002,1.538546085357666,49.71269226074219
46,edm,0.0,1.9578486159443855,1.5062627792358398,50.74822998046875
47,edm,0.0,1.967790175229311,1.3437204360961914,49.94881820678711
48,edm,0.0,1.929057814180851,1.3046022653579712,49.90815734863281
49,edm,0.0,1.9235161058604717,0.971703052520752,49.95424270629883
50,edm,0.0,1.9408731162548065,1.7318434715270996,49.052364349365234
51,edm,0.0,1.9210233986377716,1.312660574913025,51.08637619018555
52,edm,0.0,1.9027733132243156,1.0256062746047974,49.3222541809082
53,edm,0.0,1.8955672942101955,1.2922766208648682,51.39484786987305
54,edm,0.0,1.9224624782800674,1.2619881629943848,49.93731689453125
55,edm,0.0,1.901854682713747,0.9553475975990295,50.585105895996094
56,edm,0.0,1.9012868143618107,1.1212496757507324,50.516204833984375
57,edm,0.0,1.8650840818881989,1.01992666721344,48.981361389160156
58,edm,0.0,1.8758980818092823,1.1900783777236938,50.74385070800781
59,edm,0.0,1.8610759787261486,0.9023077487945557,50.50732421875
60,edm,0.0,1.8421334810554981,0.8921910524368286,49.534339904785156
61,edm,0.0,1.8252631612122059,1.0810366868972778,50.519222259521484
62,edm,0.0,1.8157733455300331,0.946051299571991,50.47566223144531
63,edm,0.0,1.8356382884085178,1.1027394533157349,51.51749038696289
64,edm,0.0,1.7905957475304604,0.9618220925331116,49.48640823364258
65,edm,0.0,1.8003541678190231,0.832643985748291,49.782440185546875
66,edm,0.0,1.8939021565020084,0.8888470530509949,49.91145324707031
67,edm,0.0,1.790012750774622,0.8579229116439819,49.680328369140625
68,edm,0.0,1.8346148952841759,0.914000928401947,50.252742767333984
69,edm,0.0,1.7735213674604893,1.0498371124267578,50.23987579345703
70,edm,0.0,1.73566135764122,0.9599794149398804,49.31926345825195
71,edm,0.0,1.773236695677042,0.869696319103241,48.74253463745117
72,edm,0.0,1.7564259991049767,0.7312619686126709,49.19734573364258
73,edm,0.0,1.7359223663806915,1.055047631263733,49.61681365966797
74,edm,0.0,1.7715804055333138,0.8202921152114868,48.70848846435547
75,edm,0.0,1.7659505754709244,0.7785683274269104,50.208988189697266
76,edm,0.0,1.7273922711610794,0.7847577333450317,49.397735595703125
77,edm,0.0,1.7080880291759968,0.7853075265884399,48.613094329833984
78,edm,0.0,1.728461217135191,0.7740530967712402,48.68708801269531
79,edm,0.0,1.7360743544995785,0.7565723061561584,47.78349685668945
80,edm,0.0,1.6981211490929127,0.8651720285415649,49.010684967041016
81,edm,0.0,1.6980682276189327,0.9325404167175293,49.08441925048828
82,edm,0.0,1.6851044408977032,0.7490012645721436,49.28239059448242
83,edm,0.0,1.6712831817567348,0.6640918850898743,49.03042221069336
84,edm,0.0,1.6568468175828457,0.7361817359924316,48.81396484375
85,edm,0.0,1.686436627060175,0.6662660241127014,47.819419860839844
86,edm,0.0,1.668658223003149,0.8291316628456116,47.61487579345703
87,edm,0.0,1.6783943511545658,0.6252850890159607,47.840450286865234
88,edm,0.0,1.6577035561203957,0.5632911920547485,48.44803237915039
89,edm,0.0,1.6587240546941757,0.8117347359657288,48.79713821411133
90,edm,0.0,1.6374274604022503,0.6978574395179749,48.65391540527344
91,edm,0.0,1.6721796914935112,0.6717200875282288,48.81046676635742
92,edm,0.0,1.660685557872057,0.7573258876800537,48.44892120361328
93,edm,0.0,1.6532293893396854,0.581104576587677,49.1744270324707
94,edm,0.0,1.6474282145500183,0.5980730056762695,48.81220245361328
95,edm,0.0,1.6466301642358303,0.7251418232917786,47.486854553222656
96,edm,0.0,1.6253405772149563,0.6984402537345886,48.40231704711914
97,edm,0.0,1.6092277131974697,0.6650161147117615,49.072540283203125
98,edm,0.0,1.6089307628571987,0.7908231019973755,48.73140335083008
99,edm,0.0,1.6055706702172756,0.6760103702545166,47.1484489440918
100,edm,0.0,1.584298599511385,0.6293851137161255,48.57504653930664
101,edm,0.0,1.5930022932589054,0.8536639213562012,47.8302001953125
102,edm,0.0,1.6079426184296608,0.580141007900238,47.99557113647461
103,edm,0.0,1.5994284115731716,0.6161090135574341,48.32264709472656
104,edm,0.0,1.6160988844931126,0.7605218291282654,48.987667083740234
105,edm,0.0,1.6050374023616314,0.6553459763526917,47.76548767089844
106,edm,0.0,1.5872648134827614,0.5807482004165649,49.39518356323242
107,edm,0.0,1.5645965971052647,0.5967773795127869,48.579925537109375
108,edm,0.0,1.5639561004936695,0.6778593063354492,47.63045883178711
109,edm,0.0,1.582710899412632,0.6186206936836243,47.67299270629883
110,edm,0.0,1.5928339213132858,0.5466628670692444,47.923377990722656
111,edm,0.0,1.5868423767387867,0.7155621647834778,49.33134841918945
112,edm,0.0,1.6065847724676132,0.578711986541748,48.34743118286133
113,edm,0.0,1.5732264295220375,0.6495562195777893,48.34190368652344
114,edm,0.0,1.5427889078855515,0.7001370787620544,47.699127197265625
115,edm,0.0,1.564004696905613,0.6493912935256958,49.46802520751953
116,edm,0.0,1.5274472460150719,0.6552795767784119,47.25017166137695
117,edm,0.0,1.5407219901680946,0.5804855823516846,48.833030700683594
118,edm,0.0,1.5378400273621082,0.5261238217353821,49.013240814208984
119,edm,0.0,1.5437045395374298,0.6641473174095154,46.93526840209961
120,edm,0.0,1.5174165032804012,0.5832123160362244,47.4587516784668
121,edm,0.0,1.5646801143884659,0.6699886918067932,47.873226165771484
122,edm,0.0,1.5498240999877453,0.5251644849777222,47.72932434082031
123,edm,0.0,1.5238307602703571,0.5073312520980835,47.869667053222656
124,edm,0.0,1.5562350265681744,0.6132836937904358,48.91215515136719
125,edm,0.0,1.5555242337286472,0.5384531617164612,48.091915130615234
126,edm,0.0,1.5412185154855251,0.6225857734680176,49.716270446777344
127,edm,0.0,1.5489424765110016,1.1147984266281128,48.064605712890625
128,edm,0.0,1.532346561551094,0.5958981513977051,49.449649810791016
129,edm,0.0,1.4965911321341991,0.5964071750640869,47.91022491455078
130,edm,0.0,1.5090314336121082,0.5019105076789856,48.48987579345703
131,edm,0.0,1.5081091076135635,0.5758335590362549,47.81447219848633
132,edm,0.0,1.526071958243847,0.5445349216461182,47.62950134277344
133,edm,0.0,1.506968691945076,0.6141208410263062,47.75872039794922
134,edm,0.0,1.5294866487383842,0.519952118396759,47.673614501953125
135,edm,0.0,1.5297557450830936,0.5255336761474609,47.96760940551758
136,edm,0.0,1.5185598582029343,0.4677790701389313,48.332420349121094
137,edm,0.0,1.5348501615226269,0.4153413772583008,47.82686233520508
138,edm,0.0,1.488552886992693,0.42622920870780945,47.6811637878418
139,edm,0.0,1.4994063042104244,0.4730064570903778,47.77698516845703
140,edm,0.0,1.4817172698676586,0.6583808660507202,48.423194885253906
141,edm,0.0,1.476639710366726,0.5353395938873291,47.89146041870117
142,edm,0.0,1.4553483352065086,0.5790838599205017,47.43630599975586
143,edm,0.0,1.4841742776334286,0.4639770984649658,47.29107666015625
144,edm,0.0,1.4536850526928902,0.5255035758018494,48.0382080078125
145,edm,0.0,1.449699904769659,0.5565874576568604,48.40742492675781
146,edm,0.0,1.4778062663972378,0.4426042139530182,48.033912658691406
147,edm,0.0,1.4452409148216248,0.45248889923095703,47.98765563964844
148,edm,0.0,1.4659155383706093,0.45881277322769165,48.83333206176758
149,edm,0.0,1.461237233132124,0.4673023223876953,46.50601577758789
150,edm,0.0,1.468591246753931,0.5292755961418152,48.35273361206055
151,edm,0.0,1.472860112786293,0.41616901755332947,47.715423583984375
152,edm,0.0,1.47732250764966,0.5579138398170471,47.489505767822266
153,edm,0.0,1.5203875191509724,0.559735119342804,47.61761474609375
154,edm,0.0,1.4775292836129665,0.5379813313484192,46.64384460449219
