epoch,loss_type,smooth_lddt_weight,total_loss,global_mse,local_angle_mae
1,edm,0.0,7.773848652839661,0.0001024874291033484,1.4611173868179321
2,edm,0.0,6.648399770259857,9.87753810477443e-05,1.4494869709014893
3,edm,0.0,6.486411035060883,0.00010482561629032716,1.5455607175827026
4,edm,0.0,6.079197347164154,0.00011560753046069294,1.4763684272766113
5,edm,0.0,4.810312509536743,0.00014066300354897976,1.4928895235061646
6,edm,0.0,4.297958821058273,0.00019453655113466084,1.4624199867248535
7,edm,0.0,3.743111699819565,0.00025582077796570957,1.4783341884613037
8,edm,0.0,3.7007963359355927,0.0002726090606302023,1.494547963142395
9,edm,0.0,3.106559067964554,0.00028614592156372964,1.4972665309906006
10,edm,0.0,2.8840697407722473,0.0002856916980817914,1.493979811668396
11,edm,0.0,2.79609951376915,0.0002710946719162166,1.4693750143051147
12,edm,0.0,2.530574321746826,0.0002536675601731986,1.5065723657608032
13,edm,0.0,2.593847692012787,0.00023519343812949955,1.4589653015136719
14,edm,0.0,2.4862175285816193,0.00022165618429426104,1.4263174533843994
15,edm,0.0,2.0963038355112076,0.000198831592570059,1.4410288333892822
16,edm,0.0,1.914602443575859,0.00015869569324422628,1.429154634475708
17,edm,0.0,1.7715939432382584,0.00014308471872936934,1.4522732496261597
18,edm,0.0,1.7089692652225494,0.0001215831289300695,1.4624465703964233
19,edm,0.0,1.5902274399995804,0.00013084712554700673,1.43510901927948
20,edm,0.0,1.5337769538164139,0.00011269513197476044,1.472501516342163
21,edm,0.0,1.5773074477910995,0.000117119649075903,1.4622329473495483
22,edm,0.0,1.5250354409217834,0.00010968538845190778,1.450125813484192
23,edm,0.0,1.579152226448059,0.00011055936192860827,1.4774011373519897
24,edm,0.0,1.5016620457172394,0.00010713795927586034,1.422588586807251
25,edm,0.0,1.465810552239418,0.000112296620500274,1.4406951665878296
26,edm,0.0,1.509074404835701,0.00010775530245155096,1.451009750366211
27,edm,0.0,1.4905576258897781,0.00010514788300497457,1.4534128904342651
28,edm,0.0,1.4085495471954346,0.00010543098323978484,1.4855875968933105
29,edm,0.0,1.4206849187612534,9.968192898668349e-05,1.4714312553405762
30,edm,0.0,1.4026130884885788,0.00011016543430741876,1.4521137475967407
31,edm,0.0,1.407052755355835,0.00010361149907112122,1.4832278490066528
32,edm,0.0,1.4283582866191864,9.970903192879632e-05,1.4655293226242065
33,edm,0.0,1.4241264462471008,0.00010460236808285117,1.4826465845108032
34,edm,0.0,1.4426891207695007,0.0001027075486490503,1.4328995943069458
35,edm,0.0,1.3953895270824432,0.00010372146789450198,1.4758782386779785
36,edm,0.0,1.426807925105095,0.000100064164143987,1.4723458290100098
37,edm,0.0,1.351479098200798,0.0001066930199158378,1.4765218496322632
38,edm,0.0,1.339884266257286,0.00010259140253765509,1.463348627090454
39,edm,0.0,1.375739336013794,0.00010353224206482992,1.4656693935394287
40,edm,0.0,1.3447173982858658,0.0001005841841106303,1.4435092210769653
41,edm,0.0,1.4217341393232346,0.00010198948439210653,1.4423552751541138
42,edm,0.0,1.4021232426166534,0.00010187507723458111,1.465865135192871
43,edm,0.0,1.3559031933546066,0.00010625572758726776,1.5193824768066406
44,edm,0.0,1.3651191890239716,0.00010737383854575455,1.4864422082901
45,edm,0.0,1.3671680837869644,0.00010022831702372059,1.4382997751235962
46,edm,0.0,1.340482622385025,0.00010046399256680161,1.4635039567947388
47,edm,0.0,1.3717094510793686,9.951421088771895e-05,1.4968901872634888
48,edm,0.0,1.3730132579803467,0.00010196832590736449,1.4609168767929077
49,edm,0.0,1.3934318721294403,0.00010611188190523535,1.4941059350967407
50,edm,0.0,1.4033740758895874,0.0001062174269463867,1.4312330484390259
51,edm,0.0,1.375757560133934,0.00010231597116217017,1.4594088792800903
52,edm,0.0,1.3986478745937347,0.00010811648098751903,1.5222262144088745
53,edm,0.0,1.3481092303991318,0.00010255748202325776,1.4821144342422485
54,edm,0.0,1.4312270730733871,0.00010299564019078389,1.4726570844650269
55,edm,0.0,1.4157797694206238,0.00010336111881770194,1.4315706491470337
56,edm,0.0,1.3305449783802032,0.00010301047586835921,1.469323992729187
57,edm,0.0,1.32383631169796,0.00010621410910971463,1.4523067474365234
58,edm,0.0,1.3846605271100998,0.0001042433432303369,1.4810665845870972
59,edm,0.0,1.358100563287735,0.00010944350651698187,1.507911205291748
60,edm,0.0,1.3241783529520035,0.00010090939758811146,1.469177007675171
61,edm,0.0,1.32785002887249,0.00010153977200388908,1.413926362991333
62,edm,0.0,1.4320537894964218,0.00010226290760328993,1.5074083805084229
63,edm,0.0,1.3345189839601517,0.00010554831533227116,1.529449701309204
64,edm,0.0,1.3900591284036636,0.00010562313400441781,1.43882417678833
65,edm,0.0,1.3761993199586868,0.00010080434003612027,1.4862710237503052
66,edm,0.0,1.3166843056678772,0.00010135764023289084,1.470546841621399
67,edm,0.0,1.381592184305191,0.00010023174399975687,1.4743090867996216
68,edm,0.0,1.3337034434080124,9.711900202091783e-05,1.4664520025253296
69,edm,0.0,1.3045942038297653,0.00010175870556849986,1.4178062677383423
70,edm,0.0,1.3435421139001846,0.0001033447842928581,1.4677878618240356
71,edm,0.0,1.4020827561616898,0.00010106676927534863,1.4945570230484009
72,edm,0.0,1.3749077320098877,9.81619959929958e-05,1.4241896867752075
73,edm,0.0,1.3740969449281693,0.00010373374243499711,1.4706624746322632
74,edm,0.0,1.3542222827672958,0.00010144694533664733,1.4551894664764404
75,edm,0.0,1.3506168276071548,0.00010233502689516172,1.494812250137329
76,edm,0.0,1.3774036914110184,9.997138840844855e-05,1.4592173099517822
77,edm,0.0,1.3684856295585632,0.00010009733523475006,1.503383755683899
78,edm,0.0,1.3422787338495255,0.00010121164814336225,1.4849194288253784
79,edm,0.0,1.343409389257431,9.986278018914163e-05,1.4581698179244995
